64
Name Seed Region RPI RPIRank BPI BPIRank Kenpom KenpomRank Sagarin SagarinRank InitialOpponent MatchupNumber
Gonzaga 1 West .6440 8 20.4	1 32.05 1 94.63 1 SouthDakotaSt. 8
UNC 1 South .6470 5 19.4 3 28.22 3 93.72 2 TexasSouthern 24
Kansas 1 Midwest .6530 3 18.4 4 27.45 6 92.88 5 UCDavis 16
Villinova 1 East .6650 1 20.3 2 29.88 2 93.46 3 Mt.St.Mary's 0
SouthDakotaSt. 16 West .5063 155 -1.0 188 -1.19 185 70.46 180 Gonzaga 8
TexasSouthern 16 South .5310 103 -0.9 185 -4.04 212 68.15 210 UNC 24
UCDavis 16 Midwest .5008 171 -2.9 221 -4.41 218 68.85 201 Kansas 16
Mt.St.Mary's 16 East .5090 149 -1.9 205 -3.85 209 67.84 215 Villinova 0
Duke 2 East .6460 6 17.7 7 24.17 14 91.25 9 Troy 7
Arizona 2 West .6550 2 14.7 22 23.31 18 88.91 18 NorthDakota 15
Louisville 2 Midwest .6450 7 17.8 6 25.51 9 91.31 8 JacksonvilleSt. 23
Kentucky 2 South .6480 4 17.5 9 27.72 4 92.88 6 NorthernKy. 31
Troy 15 East .5086 151 2.0 128 2.04 137 71.42 162 Duke 7
NorthDakota 15 West .5150 143 1.4 142 0.03 168 70.88 172 Arizona 15
JacksonvilleSt. 15 Midwest .5090 149 -0.2 171 0.63 158 70.07 184 Louisvillie 23
NorthernKy. 15 South .5430 85 -0.2 170 1.91 138 72.16 146 Kentucky 31
Baylor 3 East .6390 11 15.1 18 24.23 13 89.33 16 NewMexicoSt. 5
FloridaSt. 3 West .6310 13 13.9 24 20.06 26 87.53 23 Fla.GolfCoast 13
Oregon 3 Midwest .6430 9 17.4 10 25.02 10 90.55 10 Iona 21
UCLA 3 South .6240 15 16.8 12 23.63 16 89.79 13 KentSt. 29
NewMexicoSt. 14 East .5680 59 3.9 100 7.89 84 76.66 96 Baylor 5
FlaGolfCoast 14 West .5430 85 5.4 78 5.06 108 74.30 112 FloridaSt. 13
Iona 14 Midwest .5410 89 1.2 145 4.20 117 73.69 120 Oregon 21
KentSt. 14 South .5150 143 1.4 140 1.68 141 72.76 138 UCLA 29
Florida 4 East .6400 10 18.1 5 27.50 5 91.54 7 EastTenn.St. 3
WestVirginia 4 West .6050 24 17.6 8 27.17 7 92.92 4 Bucknell 11
Purdue 4 Midwest .6130 19 16.1 14 23.12 19 89.62 14 Vermont 19
Butler 4 South .6260 14 13.3 25 20.76 25 87.18 26 Winthrop 27
EastTenn.St. 13 East .5710 53 6.1 76 11.10 67 78.29 79 Florida 3
Bucknell 13 West .5640 63 5.2 81 9.38 76 77.05 90 WestVirginia 11
Vermont 13 Midwest .5840 46 9.0 50 11.67 63 78.82 75 Purdue 19
Winthrop 13 South .5560 68 3.7 104 4.52 113 74.08 113 Butler 27
Virginia 5 East .6100 22 17.2 11 24.29 12 90.21 12 UNCWilmington 2
NotreDame 5 West .6090 23 13.9 23 19.74 27 87.30 25 Princeton 10
IowaSt. 5 Midwest .6110 21 14.7 21 23.45 17 89.55 15 Nevada 18
Minnesota 5 South .6120 20 9.8 41 16.00 37 83.85 37 MiddleTenn. 26
UNCWilmington 12 East .6020 27 7.6 60 12.46 59 80.08 67 Virginia 2
Princeton 12 West .5790 48 8.3 54 12.61 58 79.53 72 NotreDame 10
Nevada 12 Midwest .6010 28 9.0 49 13.31 54 81.51 55 IowaSt. 18
MiddleTenn. 12 South .5960 35 9.5 46 14.95 43 81.32 57 Nevada 26
SMU 6 East .6240 15 15.5 17 24.74 11 88.58 19 USC 4
Maryland 6 West .5970 32 8.9 51 14.33 46 82.94 45 Xavier 12
Creighton 6 Midwest .6030 26 12.0 27 18.83 28 86.67 28 RhodeIsland 20
Cincinnati 6 South .6330 12 14.8 20 22.18 23 88.42 20 KansasSt. 28
USC 12 East .5870 41 7.8 57 13.46 53 83.45 42 SMU 4
Xavier 12 West .5930 36 10.4 33 16.70 31 84.97 29 Maryland 12
RhodeIsland 12 Midwest .5930 36 10.4 34 16.27 34 83.36 41 Creighton 20
KansasSt. 12 South .5700 55 10.2 37 17.44 30 84.18 33 Cincinnati 28
SouthCarolina 7 East .5870 41 11.4 28 20.81 24 86.71 27 Marquette 6
SaintMary's 7 West .6210 17 16.6 13 23.66 15 87.37 24 VCU 14
Michigan 7 Midwest .5990 30 15.6 16 23.05 20 88.11 21 OklahomaSt. 22
Dayton 7 South .6010 28 10.2 36 15.57 39 83.44 40 WichitaSt. 30
Marquette 10 East .5660 61 10.8 29 16.58 32 84.18 34 SouthCarolina 6
VCU 10 West .6140 18 9.7 42 14.07 48 82.38 50 SaintMary's 14
OklahomaSt. 10 Midwest .5880 39 12.4 26 22.47 22 87.76 22 Michigan 22
WichitaSt. 10 South .5980 31 15.7 15 26.14 8 90.42 11 Dayton 30
Wisconsin 8 East .5970 32 15.0 19 22.99 21 89.29 17 VirginiaTech 1
Northwestern 8 West .5790 9.4 47 15.82 38 83.60 38 Vanderbilt 9
Miami(Fla.) 8 Midwest .5870 41 10.7 31 15.03 42 84.31 31 MichiganSt. 17
Arkansas 8 South .6040 25 9.6 45 16.25 35 83.99 35 SetonHall 25
VirginiaTech 9 East .5820 47 8.8 52 13.80 50 82.53 48 Wisconsin 1
Vanderbilt 9 West .5920 38 10.2 38 16.53 33 83.26 42 Northwestern 9
MichiganSt. 9 Midwest .5780 51 9.7 43 15.51 40 83.94 36 Miami(Fla.) 17
SetonHall 9 South .5860 44 8.4 53 13.64 51 82.40 49 Arkansas 25
